python,6K-8K,大专,1-3年,吉林省学梯教育科技有限公司,https://jobs.zhaopin.com/CC446325533J00163676014.htm,岗位职责：1、从事公司数据采集整理相关工作；2、参与爬虫程序设计工作；3、负责程序代码的维护和改进工作；4、完成部门领导安排的其它研发相关工作;5、主要负责公司线上项目数据方便的扩展及维护。6、实习3~5k 成手5~8k任职要求：1、Python爬虫基础扎实；2、熟练Python编程，精通Python的面向对象编程；3、熟悉使用Python爬虫框架、SqlServer或Mysql数据库；4、熟悉Html页面、Js脚本，Http请求头信息及正则表达式；关于我们：1.我们是一家成熟的互联网企业，成立5年，4A级办公环境1000平，在职员工100多人。2.我们是一家正经的教育互联网企业，不靠补贴不靠融资，脚踏实地走过了五年，从无到有，挣着光明正大的钱，走着内心无愧的路。3.这里聚集了很多优秀人才，从技术、设计、运营等，在本地区绝对一流，有助于你的学习和成长。4.我们不是外包公司，所有产品从策划、设计、开发、运营、销售全部独立完成，每个环节细致、完美，让你见证每个产品从雏形到成长，增加工作的成就感和个人价值的实现。5.待遇丰厚，五险一金按照实际工资额缴纳，午餐免费，办公气氛和谐。欢迎加入学梯大家庭，来这里，实现你的个人价值。
Python工程师,8K-15K,大专,3-5年,北京爱国小男孩科技有限公司,https://jobs.zhaopin.com/CC258072487J00107019114.htm,岗位职责：1.接口的定义和实现；2.负责数据库优化和数据模型的设计3.根据业务需求对现有系统进行完善和二次开发；4.解决测试过程中发现的问题； 任职条件1.有扎实的计算机基础，熟悉常用数据结构、算法、设计模式；2. 熟悉常见的互联网开发技术，如数据库、分布式、高可用、安全等；3. 熟练掌握Python编程，有3年以上经验，有优秀的编码能力及良好的编程风格;4.对Web服务开发有深入的理解，了解后台架构设计；5.熟练掌握Linux运维经验，能独立安装、配置、搭建开发环境，编写shell脚本；6.熟练PG数据库优先考虑；7.能力突出者薪资可面议；
Python实习讲师/助教,4K-8K,大专,无经验,湖南潭州教育网络科技有限公司成都分公司,https://jobs.zhaopin.com/CC680553282J00469835401.htm,岗位职责：1.积极参与教学大纲的制定，并按照教学大纲授课；2.通过QQ与学员交流，并耐心给学员解答问题；3.参与学术交流与研讨，不断提升业务水平任职资格；4.积极配合部门相关的团队建设；5.责任心强，具有良好的沟通能力，课堂组织能力；6.授课生动幽默，有吸引力者优先。要求：1，基本上掌握Python框架2. 热爱教育行业、Python岗位3.愿意在工作中不断学习，但是计算机行业长远的发展
软件开发（Python语言技能良好者优先）,7K-14K,本科,3-5年,西安雷风电子科技有限公司,https://jobs.zhaopin.com/585525121250031.htm,"任职要求：1. 2年及以上软件类产品开发工作经验2. 熟练掌握Python/C/C++/javascript语言中至少一种，掌握常见的数据结构、算法，了解软件工程相关知识3. 熟悉linux操作系统, 有linux系统软件开发经验4. 优先条件: 有任一云计算领域主流产品（如虚拟化、Openstack，qemu/kvm, libvirt等）、数据库、微服务产品开发经验者优先学历要求- 计算机及相关专业- 2年以上工作经验- 英语应用能力良好"
Python培训讲师,6K-12K,本科,3-5年,西安若恩教育科技有限公司,https://jobs.zhaopin.com/CC541370730J00259401302.htm,工作职责：1、负责Python编程课程的讲授及课程开发；2、负责教学课例的设计，教案的撰写及课程评价；3、由参与到开发高中信息技术老师的教师培训中，并逐步承担课程讲授与开发。任职要求：1、本科以上学历，计算机相关专业优先，有教师资格证优先；2、具备扎实的Python技术基础，对信息技术教育有自己的的理解与看法；3、对于少儿编程教育行业有一定认知，了解国家政策，愿意在此行业长期发展。4、执行力强，沟通表达能力较强；5、具备基本的职场素养与人际交往能力。
python讲师,6K-8K,大专,不限,西安童程童创教育科技有限公司,https://jobs.zhaopin.com/CC822633300J00385217303.htm,1.负责少儿（小学初中居多）Python课程讲授；2.负责与家长沟通学生学习情况； 3.根据学生学习进度，制定适宜学习课程与计划； 4.相关课程体验课展示。
python讲师,6K-8K,大专,不限,西安童程童创教育科技有限公司,https://jobs.zhaopin.com/CC822633300J00385217103.htm,1.负责少儿（小学初中居多）Python课程讲授；2.负责与家长沟通学生学习情况； 3.根据学生学习进度，制定适宜学习课程与计划； 4.相关课程体验课展示。
Python工程师,10K-20K,学历不限,1-3年,合肥市合趣网络科技有限公司,https://jobs.zhaopin.com/415698432250002.htm,"岗位职责：1. 负责公司内部软件产品的开发、维护、测试；2. 公司内部数据库的日常开发和维护；3. 大数据的采集与分析。任职要求：1. 本科及以上学历，英语四级，能在合肥长期发展的；2.至少3年相关工作岗位经验3. 熟悉c++或python语言 ,数据库基本知识、 mysql 或oracle等基本操作,数据结构等，了解linux系统，精通python和django框架的优先（c、c++，python，数据库，数据结构，linux，django框架最少熟悉二种）；4. 了解常见的前端页面技术（可选）；5. 数学、通信以及计算机相关专业优先考虑；公司福利：1、社会保险（养老保险、医疗保险、失业保险、工伤保险）；2、员工旅游                                                          3、高温补贴（7-8月，200元/月）       4、生日福利5、每月团队（聚餐，K歌）     6、员工培训（入职培训，晋升培训，外出培训，集团培训等）7、员工活动（公司每年组织两次外出旅游，并定期组织各项文娱活动，如：聚餐，烧烤，爬山，羽毛球赛等丰富员工的业余生活）工作日免费提供不定期下午茶，咖啡，红茶，生活药品，纸巾    联系电话：*************"
Python研发工程师,6K-10K,本科,1-3年,合肥市合趣网络科技有限公司,https://jobs.zhaopin.com/415698432250031.htm,"岗位职责：1. 负责公司内部软件产品的开发、维护、测试；2. 公司内部数据库的日常开发和维护；3. 大数据的采集与分析。任职要求：1. 本科及以上学历，英语四级，能在合肥长期发展的；2、有相关工作经验至少1年3. 熟悉c++或python语言 ,数据库基本知识、 mysql 或oracle等基本操作,数据结构等，了解linux系统，精通python和django框架的优先（c、c++，python，数据库，数据结构，linux，django框架最少熟悉二种）；4. 了解常见的前端页面技术（可选）；5. 数学、通信以及计算机相关专业优先考虑；公司福利：1、社会保险（养老保险、医疗保险、失业保险、工伤保险）；2、员工旅游 3、高温补贴（7-8月，200元/月） 4、生日福利5、每月团队（聚餐，K歌） 6、员工培训（入职培训，晋升培训，外出培训，集团培训等）7、员工活动（公司每年组织两次外出旅游，并定期组织各项文娱活动，如：聚餐，烧烤，爬山，羽毛球赛等丰富员工的业余生活）工作日免费提供不定期下午茶，咖啡，红茶，生活药品，纸巾"
教学老师(python和scratch),10K-15K,本科,1-3年,杭州智一信息技术有限公司,https://jobs.zhaopin.com/CC331150189J00207274603.htm,职位描述：1、 根据教学计划，负责编排班课；2、 做好讲义、试题整理；3、 需出差；4、 有独立开展相关学科教学的能力。任职要求：1、本科及以上学历，师范类优，软件编程、通讯、信息等相关专业；2、熟悉Python或Scratch编程语言，有教学经验者优先；3、为人正直稳重，敬业、塌实、能承受工作压力，1年以上相关工作经验优先；4、热爱教育事业，具有极强的工作责任感和良好的团队合作、服从精神；5、具有较强的组织协调力、统筹力、执行力。晋升机制：助教-讲师-高级讲师-研究员（我们有绝对优势的职业晋升平台）福利：五险，每日餐补，每月通讯费用，年底丰厚奖金
